participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,target, participant
1,4,0,0,8.25,8250,-1.25,10.38,0.88,10.492,-0.3632,0.1189,-1.3537,4.69,83.06,33.19,0.5699,7.9628,2.0041,8.2309,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,8.371,8371,-2.86,9.91,0.66,10.3355,-0.6152,0.0894,-1.2599,13.75,86.19,23.13,0.118,8.2194,1.827,8.4208,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,8.493,8493,-3.22,10.02,0.03,10.5247,-0.6141,0.1756,-1.0712,21.25,90.13,13.38,-0.3219,8.4567,1.5902,8.6109,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,8.618,8618,-4.86,8.95,-0.63,10.2039,-0.5487,0.1724,-1.0788,27.88,93.5,4.0,-0.9199,8.5217,1.2976,8.6688,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,8.781,8781,-6.29,8.07,-1.16,10.2973,-0.2443,0.0382,-1.1999,39.25,97.5,349.75,-1.6275,8.4621,0.9738,8.6721,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,8.901,8901,-6.33,8.68,-0.8,10.7727,-0.0742,-0.012,-1.0799,45.56,99.56,342.94,-2.2472,8.4909,0.74,8.8143,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.022,9022,-4.64,10.24,0.15,11.2432,0.0425,-0.0513,1.8402,42.31,99.0,346.5,-2.5625,8.7213,0.6623,9.1141,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.144,9144,-4.75,11.04,-0.97,12.0576,1.021,0.1091,2.4129,29.13,94.13,1.69,-2.8508,9.0269,0.4472,9.4769,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.264,9264,-3.77,11.11,-0.06,11.7324,1.1574,-0.2891,2.6911,11.81,86.5,22.69,-2.9719,9.3014,0.3804,9.772,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.386,9386,-0.69,11.47,0.98,11.5325,0.8781,-0.2291,2.6573,-5.94,79.88,42.75,-2.6712,9.5872,0.4594,9.9629,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.508,9508,2.44,10.41,1.89,10.8579,0.9697,-0.1963,2.9311,-24.19,72.25,61.31,-1.9977,9.6956,0.6479,9.9204,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.633,9633,3.61,8.91,2.97,10.0619,0.7079,-0.5574,3.1852,-41.31,59.13,80.69,-1.2587,9.5921,0.9539,9.7212,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.796,9796,5.42,1.86,2.86,6.4043,0.6829,-0.1974,4.3219,-62.31,10.19,116.81,-0.3786,8.5732,1.2051,8.6657,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,9.917,9917,-2.88,-11.29,4.23,12.3956,-0.2389,-0.2094,-0.6218,-58.69,-16.0,129.75,-0.7083,5.9557,1.6037,6.2084,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,4,0,0,10.038,10038,5.26,2.58,4.49,7.3813,-0.5432,-0.2073,-3.1918,-55.94,23.25,109.0,0.0782,5.5109,1.984,5.8577,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.16,10160,6.33,9.0,3.17,11.4507,-1.2926,0.2618,-2.402,-41.19,51.25,87.63,0.902,5.9707,2.1403,6.4065,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.286,10286,1.75,11.39,1.0,11.567,-1.7573,0.6861,-2.6376,-25.69,70.44,71.0,1.0138,6.6848,1.99,7.048,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.407,10407,0.91,12.62,-0.46,12.6611,-1.3123,0.6872,-2.8918,-8.56,84.69,50.63,1.0001,7.4669,1.6672,7.7158,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.527,10527,-3.76,12.28,-0.61,12.8572,-0.7581,0.1865,-2.5678,10.06,91.5,29.19,0.3728,8.1011,1.3671,8.2241,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.648,10648,-3.35,10.57,-0.66,11.1078,-0.4036,0.1767,-1.0657,19.75,95.13,17.38,-0.1177,8.4265,1.1,8.4988,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.811,10811,-6.43,8.74,-1.16,10.9123,0.024,0.3,-1.3897,32.19,96.69,2.63,-0.9495,8.4678,0.8022,8.5585,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,10.931,10931,-6.38,7.71,-0.81,10.0401,0.1462,0.1473,-0.9861,39.19,95.06,354.63,-1.6651,8.3679,0.5897,8.5524,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.069,11069,-6.01,7.18,-0.5,9.3767,-0.0611,-0.2694,-0.4145,43.13,95.81,351.38,-2.2377,8.2114,0.4461,8.5225,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.19,11190,-6.73,7.12,-0.99,9.8472,-0.1222,-0.2094,0.0447,44.81,98.69,350.25,-2.8296,8.0676,0.2569,8.5533,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.31,11310,-7.52,7.29,-1.05,10.526,-0.0524,0.0742,0.1091,45.56,100.0,349.69,-3.4477,7.9651,0.0847,8.6797,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.431,11431,-6.18,8.49,-0.54,10.5149,0.228,0.1342,0.4058,43.25,97.94,352.13,-3.8078,8.0343,0.0024,8.8909,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.552,11552,-5.5,9.21,0.04,10.7273,0.4592,-0.2563,1.8391,36.81,94.81,1.06,-4.0308,8.1892,0.0073,9.1274,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.674,11674,-5.73,10.84,-0.84,12.29,0.8596,-0.2094,1.2937,25.94,91.63,16.0,-4.2547,8.5385,-0.1043,9.5404,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.841,11841,-3.77,10.38,0.54,11.0566,1.033,0.1582,1.513,10.25,82.31,33.88,-4.1908,8.7812,-0.0194,9.73,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,11.962,11962,-1.1,9.71,1.78,9.9329,0.7516,0.3174,1.8064,-3.0,75.94,45.94,-3.7835,8.9036,0.2177,9.6766,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,12.082,12082,0.49,10.44,2.17,10.6744,0.4167,0.2094,2.5449,-16.13,71.69,57.31,-3.2204,9.106,0.475,9.6704,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,12.203,12203,3.24,12.78,3.01,13.5235,0.4123,-0.1167,3.4798,-34.13,65.56,75.25,-2.3691,9.5902,0.809,9.9115,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,12.324,12324,4.73,6.29,2.04,8.1301,0.8138,-0.8956,4.8586,-57.31,34.88,106.31,-1.4336,9.1553,0.9712,9.3176,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,12.445,12445,1.14,-6.01,4.41,7.5411,0.7647,0.2214,2.7293,-59.0,-15.13,130.13,-1.0945,7.1569,1.4244,7.3789,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,5,0,0,12.567,12567,2.57,-5.26,3.67,6.9095,-0.6032,0.1396,-2.4958,-60.63,-15.44,131.06,-0.6116,5.5207,1.7203,5.8147,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,12.687,12687,5.73,5.52,3.46,8.6761,-0.5618,0.0753,-3.8299,-58.13,29.81,109.06,0.2241,5.5206,1.9495,5.859,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,12.855,12855,2.7,7.89,3.02,8.8692,-0.8781,0.156,-2.3922,-40.38,58.69,86.0,0.5503,5.8328,2.0906,6.2205,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,12.975,12975,1.55,9.15,1.82,9.4571,-1.0799,0.3502,-2.5787,-23.81,71.88,68.5,0.6821,6.2699,2.0549,6.6332,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.096,13096,-1.88,11.93,1.0,12.1186,-0.9065,0.2127,-3.134,-4.25,80.56,48.06,0.3445,7.0158,1.9159,7.2808,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.218,13218,-2.21,11.41,1.22,11.6859,-0.5978,0.0611,-1.765,11.31,85.13,31.13,0.0078,7.5948,1.8242,7.8108,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.338,13338,-4.04,10.58,0.08,11.3254,-0.5574,-0.0589,-1.1083,20.81,89.19,20.69,-0.5256,7.9882,1.5944,8.1627,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.459,13459,-4.31,9.6,0.02,10.5231,-0.3163,0.1342,-0.54,25.75,91.88,14.5,-1.0242,8.2006,1.3869,8.3799,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.581,13581,-5.13,7.95,-0.7,9.4873,-0.3731,0.2858,-0.625,28.81,93.63,8.94,-1.5653,8.1676,1.1119,8.3902,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.701,13701,-7.36,6.71,-1.19,10.0304,-0.276,0.336,-2.0955,37.63,94.88,357.19,-2.3289,7.9755,0.8086,8.3478,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.864,13864,-9.31,5.54,-0.6,10.8502,-0.3316,0.0665,-2.9354,57.31,97.81,334.25,-3.2488,7.6546,0.623,8.3388,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,13.988,13988,-8.8,6.06,-0.21,10.6868,-0.1298,-0.06,0.2574,66.44,102.13,323.44,-3.9803,7.4444,0.5132,8.4573,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.109,14109,-8.99,6.73,-0.72,11.2531,0.2378,-0.2793,1.3014,59.88,101.06,331.06,-4.6405,7.3503,0.3507,8.6996,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.231,14231,-8.01,8.12,-1.18,11.4668,0.625,-0.4014,2.3889,45.94,98.19,349.19,-5.0845,7.4517,0.149,9.0223,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.351,14351,-6.8,9.06,-1.42,11.4167,1.0548,-0.1985,1.9068,30.5,92.88,10.13,-5.3105,7.6637,-0.0578,9.324,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.472,14472,-4.64,9.3,-0.02,10.3933,1.2348,0.1036,2.2057,17.06,85.0,26.63,-5.2222,7.8793,-0.0528,9.4529,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.593,14593,-3.02,11.91,1.7,12.404,0.8279,0.144,2.7118,1.63,78.38,42.69,-4.932,8.4104,0.1782,9.7515,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.714,14714,1.07,12.93,2.27,13.1713,0.7385,0.1451,3.8135,-21.5,72.56,64.38,-4.1411,9.006,0.4538,9.9228,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,14.877,14877,3.53,7.77,0.63,8.5575,0.6076,-0.7341,5.7487,-60.31,39.44,109.19,-3.1302,8.8431,0.477,9.3929,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,15.002,15002,-3.82,-10.54,4.59,12.1141,-0.0949,-0.5247,4.0513,-59.63,-26.44,141.25,-3.2211,6.2889,1.019,7.1389,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,15.123,15123,4.24,-1.28,4.15,6.0695,0.1145,-0.0164,-3.9139,-58.44,-2.5,127.13,-2.2379,5.2915,1.4316,5.921,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,15.244,15244,6.77,7.51,3.86,10.8228,-0.9054,0.7265,-2.6158,-55.31,36.06,107.06,-1.0509,5.5839,1.7516,5.9458,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,6,0,0,15.365,15365,5.16,5.73,2.29,8.0438,-0.6807,0.7439,-3.3096,-46.38,59.44,92.31,-0.2325,5.6031,1.8226,5.8967,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
1,7,0,0,15.485,15485,1.23,5.85,1.16,6.0894,-0.7483,0.2836,-5.1378,-22.06,74.13,64.19,-0.0398,5.6357,1.7352,5.8969,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0
